v: (0.086864, 0.017906, 0.217323)
v: (0.088735, 0.001961, 0.219689)
v: (0.082031, 0.00187, 0.231186)
v: (0.082537, 0.01095, 0.229834)
v: (0.080109, 0.020856, 0.222763)
v: (0.078702, 0.024871, 0.197675)
v: (0.083716, 0.02129, 0.1909)
v: (0.08876, 0.009085, 0.220181)
v: (0.058607, 0.001877, 0.229408)
v: (0.058604, 0.010504, 0.229581)
v: (0.065769, 0.02428, 0.201356)
v: (0.06679, 0.001848, 0.23322)
v: (0.066462, 0.010991, 0.232854)
v: (0.064104, 0.022152, 0.225773)
v: (0.074261, 0.01458, 0.237264)
v: (0.073747, 0.025564, 0.229369)
v: (0.083997, 0.007397, 0.18086)
v: (0.057342, 0.001979, 0.21714)
v: (0.073087, 0.001994, 0.216027)
v: (0.074343, 0.001814, 0.237581)
v: (0.055368, 0.505306, 0.361872)
v: (0.049176, 0.531314, 0.382687)
v: (0.042015, 0.543216, 0.385514)
v: (0.044402, 0.583555, 0.371593)
v: (0.054066, 0.557937, 0.372411)
v: (0.052767, 0.570521, 0.373848)
v: (0.042253, 0.579124, 0.36098)
v: (0.052626, 0.541472, 0.370898)
v: (0.048629, 0.580009, 0.376889)
v: (0.0377, 0.58252, 0.378083)
v: (0.045427, 0.583484, 0.377207)
v: (0.040585, 0.571364, 0.348327)
v: (0.053481, 0.562425, 0.355979)
v: (0.03762, 0.582617, 0.371826)
v: (0.032309, 0.5793, 0.366663)
v: (0.026779, 0.573688, 0.358831)
v: (0.029708, 0.57653, 0.377)
v: (0.024585, 0.568795, 0.376519)
v: (0.050324, 0.570783, 0.373653)
v: (0.050433, 0.558206, 0.372335)
v: (0.042843, 0.547826, 0.372641)
v: (0.032924, 0.574931, 0.376821)
v: (0.039503, 0.58125, 0.377836)
v: (0.044136, 0.581601, 0.377514)
v: (0.046607, 0.57915, 0.376934)
v: (0.029684, 0.566258, 0.376444)
v: (0.02924, 0.556378, 0.376478)
v: (0.045296, 0.56993, 0.36773)
v: (0.0414, 0.55237, 0.369463)
v: (0.0348, 0.572381, 0.369419)
v: (0.041379, 0.575069, 0.370251)
v: (0.046045, 0.560676, 0.368309)
v: (0.033131, 0.565671, 0.370245)
v: (0.032951, 0.55696, 0.370636)
v: (0.040263, 0.557665, 0.357848)
v: (0.04182, 0.566692, 0.358713)
v: (0.037858, 0.552499, 0.357019)
v: (0.037707, 0.567802, 0.358783)
v: (0.040435, 0.57013, 0.359937)
v: (0.034691, 0.560016, 0.358285)
v: (0.033665, 0.554926, 0.357653)
v: (-0.023073, 0.133321, -0.368875)
v: (-0.016685, 0.291791, -0.247323)
v: (-0.013794, 0.121946, -0.344488)
v: (0.034959, 0.209476, -0.168988)
v: (0.049629, 0.215519, -0.205709)
v: (0.066269, 0.323601, -0.211956)
v: (0.073328, 0.370524, -0.085773)
v: (0.082202, 0.336463, -0.072441)
v: (0.073083, 0.217766, -0.2016)
v: (0.041969, 0.203117, -0.131453)
v: (0.061623, 0.199361, -0.105658)
v: (0.071975, 0.175242, -0.201308)
v: (0.051414, 0.158637, -0.169097)
v: (0.049694, 0.167572, -0.187471)
v: (0.057345, 0.174389, -0.202416)
v: (0.062572, 0.124865, -0.234131)
v: (0.067693, 0.111307, -0.191444)
v: (0.058261, 0.123487, -0.229104)
v: (0.057773, 0.118156, -0.20974)
v: (0.072243, 0.124962, -0.234316)
v: (0.060091, 0.052516, -0.211623)
v: (0.060294, 0.051597, -0.223593)
v: (0.071018, 0.055535, -0.199604)
v: (0.031425, 0.240678, 0.183479)
v: (0.034106, 0.237719, 0.157453)
v: (0.091056, 0.23285, 0.139394)
v: (0.052295, 0.179153, 0.191415)
v: (0.041339, 0.177768, 0.1723)
v: (0.084687, 0.18145, 0.143816)
